BHID,From,To,X,Y,Z,surface,series,id,order_series
BH1,150,151,582682.34,3639203.55,1952.0,rock1,series2,2,2
BH1,151,152,582682.34,3639203.55,1953.0,rock1,series2,2,2
BH1,152,153,582682.34,3639203.55,1954.0,rock1,series2,2,2
BH1,153,154,582682.34,3639203.55,1955.0,rock1,series2,2,2
BH1,154,155,582682.34,3639203.55,1956.0,rock1,series2,2,2
BH1,155,156,582682.34,3639203.55,1957.0,rock1,series2,2,2
BH1,156,157,582682.34,3639203.55,1958.0,rock1,series2,2,2
BH1,157,158,582682.34,3639203.55,1959.0,rock1,series2,2,2
BH1,158,159,582682.34,3639203.55,1960.0,rock1,series2,2,2
BH1,159,160,582682.34,3639203.55,1961.0,rock1,series2,2,2
BH1,160,161,582682.34,3639203.55,1962.0,rock1,series2,2,2
BH1,161,162,582682.34,3639203.55,1963.0,rock1,series2,2,2
BH1,162,163,582682.34,3639203.55,1964.0,rock1,series2,2,2
BH1,163,164,582682.34,3639203.55,1965.0,rock1,series2,2,2
BH1,164,165,582682.34,3639203.55,1966.0,rock1,series2,2,2
BH1,165,166,582682.34,3639203.55,1967.0,rock1,series2,2,2
BH1,166,167,582682.34,3639203.55,1968.0,rock1,series2,2,2
BH1,167,168,582682.34,3639203.55,1969.0,rock1,series2,2,2
BH1,168,169,582682.34,3639203.55,1970.0,rock1,series2,2,2
BH1,169,170,582682.34,3639203.55,1971.0,rock1,series2,2,2
BH1,170,171,582682.34,3639203.55,1972.0,rock1,series2,2,2
BH1,171,172,582682.34,3639203.55,1973.0,rock1,series2,2,2
BH1,172,173,582682.34,3639203.55,1974.0,rock1,series2,2,2
BH1,173,174,582682.34,3639203.55,1975.0,rock1,series2,2,2
BH1,174,175,582682.34,3639203.55,1976.0,rock1,series2,2,2
BH1,175,176,582682.34,3639203.55,1977.0,rock1,series2,2,2
BH1,176,177,582682.34,3639203.55,1978.0,rock1,series2,2,2
BH1,177,178,582682.34,3639203.55,1979.0,rock1,series2,2,2
BH1,178,179,582682.34,3639203.55,1980.0,rock1,series2,2,2
BH1,179,180,582682.34,3639203.55,1981.0,rock1,series2,2,2
BH1,180,181,582682.34,3639203.55,1982.0,rock1,series2,2,2
BH1,181,182,582682.34,3639203.55,1983.0,rock1,series2,2,2
BH1,182,183,582682.34,3639203.55,1984.0,rock1,series2,2,2
BH1,183,184,582682.34,3639203.55,1985.0,rock1,series2,2,2
