BHID,From,To,Rock Type/ Alterations,Symbol,Rtype,Description,
BH1,169,170,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,170,171,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,171,172,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,172,173,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,173,174,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,174,175,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,175,176,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,176,177,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,177,178,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,178,179,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,179,180,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,180,181,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,181,182,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,182,183,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,183,184,Basalt,B-Ja,7,Light grenish grey to redish unaltered basalt containing jasperite,
BH1,184,185,Basalt,B-S,3,Dark greenish grey glassy textured  unaltered basalt at places contain serpentine,
BH1,185,186,Basalt,B-S,3,Dark greenish grey glassy textured  unaltered basalt at places contain serpentine,
BH1,186,187,Basalt,B-S,3,Dark greenish grey glassy textured  unaltered basalt at places contain serpentine,
BH1,187,188,Basalt,B-S,3,Dark greenish grey glassy textured  unaltered basalt at places contain serpentine,
BH1,188,189,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,189,190,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,190,191,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,191,192,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,192,193,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,193,194,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,194,195,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,195,196,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,196,197,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,197,198,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,198,199,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,199,200,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,200,201,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,201,202,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,202,203,Basalt,B-Gr,1,Light grenish grey unaltered basalt,
BH1,203,204,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,204,205,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,205,206,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
BH1,206,207,Basalt,B-Gr,1,Dark grey hydrothermally altered basalt,
