BHID,From,To,Cu %,Cu ppm,Ag ppm,As ppm,Au ppm,Ce ppm,Dy ppm,Er ppm,Eu ppm,Gd ppm,Hg ppm,Ho ppm,La ppm,Lu ppm,Nd ppm,Pb ppm,Pr ppm,Sc ppm,Sm ppm,Tb ppm,Tm ppm,Y ppm,Yb ppm,Zn ppm
BH1,177,178,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,178,179,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,179,180,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,180,181,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,181,182,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,182,183,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,183,184,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,184,185,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,185,186,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,186,187,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,187,188,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,188,189,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,189,190,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,190,191,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,191,192,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,192,193,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,193,194,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,194,195,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,195,196,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,196,197,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,197,198,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,198,199,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,199,200,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,200,201,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,201,202,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,202,203,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,203,204,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,204,205,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,205,206,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,206,207,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,207,208,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,208,209,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,209,210,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,210,211,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,211,212,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,212,213,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,213,214,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,214,215,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,215,216,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,216,217,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,217,218,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,218,219,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,219,220,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,220,221,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,221,222,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,222,223,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,223,224,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,224,225,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,225,226,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,226,227,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,227,228,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,228,229,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,229,230,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,230,231,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,231,232,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,232,233,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,233,234,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,234,235,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,235,236,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,236,237,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,237,238,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,238,239,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,239,240,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,240,241,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,241,242,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,242,243,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,243,244,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,244,245,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,245,246,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,246,247,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,247,248,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,248,249,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,249,250,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,250,251,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,251,252,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,252,253,0,,,,,,,,,,,,,,,,,,,,,,,
BH1,253,254,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,0,1,0.15,1452,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14.19,ND,ND,ND,7.9,1.74,24.14
BH2,1,2,0.01,135,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,12.1,ND,ND,ND,9.15,1.32,16.47
BH2,2,3,0.16,1550,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.68,ND,ND,ND,6.34,1.21,16.59
BH2,3,4,0.04,377,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.62,ND,ND,ND,6.91,1,11.94
BH2,4,5,0.05,475,ND,18.63,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11.6,ND,ND,ND,6,1.44,23.76
BH2,5,6,0.15,1464,ND,37.55,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13.81,ND,ND,ND,10.51,2.24,30.6
BH2,6,7,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,7,8,0.03,328,ND,5.33,ND,ND,ND,ND,ND,ND,ND,ND,3.77,ND,ND,ND,ND,9.87,ND,ND,ND,6.56,1.32,14.61
BH2,8,9,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,9,10,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,10,11,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,11,12,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,12,13,0.02,195,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8.4,ND,ND,ND,4.66,1.37,16.22
BH2,13,14,0.03,270,ND,18.68,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.26,ND,ND,ND,7.81,1.92,17.4
BH2,14,15,0.05,520,ND,12.75,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.8,ND,ND,ND,4.56,1.84,18.96
BH2,15,16,0.02,171,ND,8.08,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6.54,ND,ND,ND,6.37,1.4,16.05
BH2,16,17,0.07,716,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,9.25,ND,ND,ND,9.03,1.4,18.22
BH2,17,18,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,18,19,0.22,2177,ND,16.99,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,25.64,ND,ND,ND,5.49,2.7,32.65
BH2,19,20,0.05,472,ND,13.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,26.65,ND,ND,ND,12.71,3.18,23.21
BH2,20,21,0.01,75.06,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,29.5,ND,ND,ND,4.44,1.82,49.16
BH2,21,22,0,,,,,,,,,,,,,,,,,,,,,,,
BH2,22,23,0.07,712,ND,7.33,ND,,,,,,ND,,,,,20.39,,,,,,,,18.77
